,actual_timestamp,past_timestamp,actual_access,past_access,actual_category,past_category,actual_raw_category,past_raw_category,actual_revision.anon,past_revision.anon,actual_revision.comment,past_revision.comment,actual_revision.commenthidden,past_revision.commenthidden,actual_revision.parentid,past_revision.parentid,actual_revision.revid,past_revision.revid,actual_revision.user,past_revision.user
12,2007-11-24T17:49:49Z,2008-12-09T21:43:01Z,2007-12-01T00:00:00Z,2009-01-01T00:00:00Z,a,b,"[('class=A|', 'A', '', '')]","[('class=B|', 'B', '', ''), ('class=""autosigned"">—Preceding [[Wikipedia:Signatures|', '""autosigned"">—Preceding [[Wikipedia:Signatures', '', '')]",,,/* References */,related compounds should have a wiki article,,,171286475,256733594,173518006,256913977,62.78.138.39,V8rik
13,2007-09-24T15:17:45Z,2008-12-09T21:43:01Z,2007-11-01T00:00:00Z,2009-01-01T00:00:00Z,a,b,"[('class=A|', 'A', '', '')]","[('class=B|', 'B', '', ''), ('class=""autosigned"">—Preceding [[Wikipedia:Signatures|', '""autosigned"">—Preceding [[Wikipedia:Signatures', '', '')]",,,chemicals pages cleanup per [[User:Beetstra/Chemicals]]  using [[Project:AutoWikiBrowser|AWB]],related compounds should have a wiki article,,,158286218,256733594,160030340,256913977,Beetstra,V8rik
14,2007-09-24T15:17:45Z,2008-12-09T21:43:01Z,2007-10-01T00:00:00Z,2009-01-01T00:00:00Z,a,b,"[('class=A|', 'A', '', '')]","[('class=B|', 'B', '', ''), ('class=""autosigned"">—Preceding [[Wikipedia:Signatures|', '""autosigned"">—Preceding [[Wikipedia:Signatures', '', '')]",,,chemicals pages cleanup per [[User:Beetstra/Chemicals]]  using [[Project:AutoWikiBrowser|AWB]],related compounds should have a wiki article,,,158286218,256733594,160030340,256913977,Beetstra,V8rik
15,2007-08-28T03:34:36Z,2008-12-09T21:43:01Z,2007-09-01T00:00:00Z,2009-01-01T00:00:00Z,a,b,"[('class=A|', 'A', '', '')]","[('class=B|', 'B', '', ''), ('class=""autosigned"">—Preceding [[Wikipedia:Signatures|', '""autosigned"">—Preceding [[Wikipedia:Signatures', '', '')]",,,/* See also */,related compounds should have a wiki article,,,153927658,256733594,154095059,256913977,Jrockley,V8rik
16,2007-07-09T13:38:44Z,2008-12-09T21:43:01Z,2007-08-01T00:00:00Z,2009-01-01T00:00:00Z,a,b,"[('class=A|', 'A', '', '')]","[('class=B|', 'B', '', ''), ('class=""autosigned"">—Preceding [[Wikipedia:Signatures|', '""autosigned"">—Preceding [[Wikipedia:Signatures', '', '')]",,,Removed {{ChemicalSources}} as obsolete,related compounds should have a wiki article,,,129377167,256733594,143494261,256913977,Chem-awb,V8rik
17,2007-05-08T23:19:35Z,2008-12-09T21:43:01Z,2007-07-01T00:00:00Z,2009-01-01T00:00:00Z,a,b,"[('class=A|', 'A', '', '')]","[('class=B|', 'B', '', ''), ('class=""autosigned"">—Preceding [[Wikipedia:Signatures|', '""autosigned"">—Preceding [[Wikipedia:Signatures', '', '')]",,,robot  Adding: [[fr:Butadiène]],related compounds should have a wiki article,,,128833154,256733594,129377167,256913977,VVVBot,V8rik
18,2007-05-08T23:19:35Z,2008-12-09T21:43:01Z,2007-06-01T00:00:00Z,2009-01-01T00:00:00Z,a,b,"[('class=A|', 'A', '', '')]","[('class=B|', 'B', '', ''), ('class=""autosigned"">—Preceding [[Wikipedia:Signatures|', '""autosigned"">—Preceding [[Wikipedia:Signatures', '', '')]",,,robot  Adding: [[fr:Butadiène]],related compounds should have a wiki article,,,128833154,256733594,129377167,256913977,VVVBot,V8rik
19,2007-04-23T08:19:52Z,2008-12-09T21:43:01Z,2007-05-01T00:00:00Z,2009-01-01T00:00:00Z,a,b,"[('class=A|', 'A', '', '')]","[('class=B|', 'B', '', ''), ('class=""autosigned"">—Preceding [[Wikipedia:Signatures|', '""autosigned"">—Preceding [[Wikipedia:Signatures', '', '')]",,,/* From ethanol */,related compounds should have a wiki article,,,124410174,256733594,125109527,256913977,Nonagonal Spider,V8rik
20,2007-03-04T15:59:11Z,2008-12-09T21:43:01Z,2007-04-01T00:00:00Z,2009-01-01T00:00:00Z,a,b,"[('class=A|', 'A', '', '')]","[('class=B|', 'B', '', ''), ('class=""autosigned"">—Preceding [[Wikipedia:Signatures|', '""autosigned"">—Preceding [[Wikipedia:Signatures', '', '')]",,,,related compounds should have a wiki article,,,111716741,256733594,112579198,256913977,83.249.111.74,V8rik
21,2007-02-24T19:49:21Z,2008-12-09T21:43:01Z,2007-03-01T00:00:00Z,2009-01-01T00:00:00Z,a,b,"[('class=A|', 'A', '', '')]","[('class=B|', 'B', '', ''), ('class=""autosigned"">—Preceding [[Wikipedia:Signatures|', '""autosigned"">—Preceding [[Wikipedia:Signatures', '', '')]",,,/* From ethanol */,related compounds should have a wiki article,,,108501822,256733594,110645036,256913977,137.122.50.177,V8rik
22,2007-01-21T03:20:26Z,2008-12-09T21:43:01Z,2007-02-01T00:00:00Z,2009-01-01T00:00:00Z,a,b,"[('class=A|', 'A', '', '')]","[('class=B|', 'B', '', ''), ('class=""autosigned"">—Preceding [[Wikipedia:Signatures|', '""autosigned"">—Preceding [[Wikipedia:Signatures', '', '')]",,,rv cut-and-paste copyvio,related compounds should have a wiki article,,,102137219,256733594,102138921,256913977,Isopropyl,V8rik
